BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,18900,44605.0,65489.0,DebtCon,ProfExe,15.0,0.0,0.0,189.00845586,0.0,23.0,38.57108327
0,22900,136032.0,180899.0,DebtCon,ProfExe,21.0,0.0,0.0,240.34747113,0.0,24.0,41.596747473
0,14700,55000.0,76864.5,DebtCon,Other,7.0,0.0,0.0,156.20449703,1.0,17.5,24.595377852
0,12100,83557.0,98881.0,HomeImp,ProfExe,6.0,0.0,0.0,102.22570446,1.0,26.0,25.782787088
0,25400,82553.0,107422.0,DebtCon,Mgr,9.0,1.0,0.0,305.75970536,2.0,29.0,32.72167844
0,29000,32109.0,49912.0,DebtCon,Other,34.0,0.0,0.0,278.56500343,1.0,23.0,39.796560762
0,16100,26276.0,168105.0,HomeImp,Self,7.0,0.0,0.0,336.19846451,0.0,26.0,25.991819945
0,16600,71564.0,84627.0,DebtCon,Office,5.0,0.0,0.0,114.64013288,1.0,20.0,22.323142605
0,18000,100822.0,118817.0,DebtCon,ProfExe,0.0,0.0,0.0,126.42643974,0.0,30.0,37.877411067
0,22900,95321.0,123082.0,DebtCon,Self,3.0,0.0,0.0,205.44151908,2.0,26.0,34.05349114
0,7400,75311.0,89905.0,DebtCon,ProfExe,0.0,0.0,0.0,185.17063715,1.0,24.0,27.201999612
0,18900,100416.0,161147.0,DebtCon,Mgr,1.0,0.0,0.0,216.09704957,1.0,18.0,38.460499883
0,28900,76600.0,117991.0,DebtCon,Mgr,7.0,0.0,0.0,159.55002458,0.0,27.0,32.16500253
0,5300,97132.0,117343.0,HomeImp,Office,22.0,0.0,0.0,109.93390789,1.0,11.0,35.8385427
0,24400,93411.0,140031.0,HomeImp,ProfExe,6.0,0.0,0.0,177.51124938,0.0,32.0,31.027335916
0,22500,57762.0,95790.0,DebtCon,Office,3.0,0.0,0.0,151.71506582,1.0,21.0,34.863596079
0,10800,64181.0,70996.0,DebtCon,Other,4.0,0.0,0.0,171.75957905,2.0,17.0,33.227793593
0,65800,70095.0,142922.0,HomeImp,Office,10.0,0.0,0.0,113.06982351,0.0,12.0,39.918789844
0,12500,101047.0,118913.0,HomeImp,Office,2.0,0.0,0.0,156.60549165,1.0,22.0,35.899287842
0,20200,35819.0,49843.0,HomeImp,Self,4.0,0.0,0.0,121.10222953,1.0,11.0,27.037512902
0,13400,53294.0,69042.0,DebtCon,Other,0.0,0.0,0.0,214.36204349,0.0,9.0,36.30954976
1,5000,68000.0,75616.0,DebtCon,ProfExe,0.1,0.0,0.0,131.86666667,0.0,30.0,33.378041229000004
0,78700,22762.0,102997.0,HomeImp,Other,25.0,0.0,0.0,146.63284161,0.0,13.0,34.300201816
0,13500,42000.0,62800.0,DebtCon,ProfExe,6.0,0.0,0.0,153.16666667,2.0,12.0,33.378041229000004
0,15600,92789.0,123455.0,DebtCon,Other,13.0,0.0,0.0,176.73493223,0.0,26.0,36.544273113
0,28500,73188.0,111925.0,HomeImp,Other,5.0,0.0,0.0,123.61317437,11.0,21.0,44.520554753
1,17000,87600.0,110000.0,DebtCon,Other,0.4,6.0,0.0,180.56666667,2.0,46.0,34.571519125
0,10500,30922.0,57682.0,DebtCon,Other,30.0,0.0,0.0,241.46041263,0.0,19.0,23.237035018
0,18200,93702.0,158647.0,HomeImp,ProfExe,4.0,0.0,1.0,96.177793274,0.0,16.0,34.709935978
0,21300,66573.0,100519.0,DebtCon,Office,7.0,0.0,0.0,98.89218205,1.0,18.0,34.964141026
0,7300,93428.0,118184.0,HomeImp,Other,10.0,0.0,0.0,411.95205053,1.0,50.0,40.39647435
1,5800,27791.0,46833.0,DebtCon,Mgr,3.0,0.0,0.0,83.289062746,1.0,13.0,30.187805389
0,50100,55000.0,85756.0,HomeImp,Other,7.0,0.0,0.0,348.78600991,0.0,6.0,23.219806012
0,36000,204292.0,268436.0,DebtCon,ProfExe,3.0,0.0,0.0,243.29543026,0.0,31.0,30.938977447
1,9300,84900.0,105798.0,DebtCon,ProfExe,2.0,0.0,0.0,41.807204596,1.0,3.0,26.956697896
0,14500,54927.0,63177.0,DebtCon,Other,3.0,0.0,0.0,178.93616767,0.0,14.0,27.062233476
0,42600,22446.0,66485.0,DebtCon,Other,17.0,0.0,0.0,204.20363317,0.0,30.0,41.156275936
0,19400,109812.0,172705.0,DebtCon,Office,5.0,0.0,0.0,204.10541489,3.0,23.0,43.338407206
0,16500,64992.0,97348.0,HomeImp,Office,8.0,0.0,0.0,123.66882077,0.0,11.0,36.107923552
0,21500,9579.0,30807.0,DebtCon,Other,7.0,0.0,0.0,58.117463621,2.0,19.0,42.49201034
1,3000,119826.0,193500.0,HomeImp,Other,8.0,0.0,0.0,130.03335846,0.0,27.0,34.571519125
0,27000,60631.0,86091.0,DebtCon,Other,24.0,0.0,2.0,200.14145359,1.0,20.0,26.248756632
0,19000,42488.0,65636.0,DebtCon,Other,7.0,0.0,0.0,90.676444354,3.0,14.0,42.226716481
0,31400,37750.0,76204.0,DebtCon,Other,7.0,0.0,0.0,268.26493058,0.0,16.0,41.448763305
0,26100,75164.0,108483.0,DebtCon,Mgr,7.0,0.0,0.0,300.83595806,2.0,28.0,30.071402046
1,23500,52457.0,77436.0,DebtCon,Other,16.0,0.0,0.0,156.20449703,0.0,0.0,33.568766269
0,22300,133995.0,281186.0,HomeImp,Mgr,2.0,0.0,0.0,181.15398818,0.0,15.0,28.899299611
0,22100,60396.0,101741.0,DebtCon,Office,8.0,0.0,0.0,97.023226329,1.0,17.0,35.681521324
0,15900,52012.0,105877.0,HomeImp,Other,0.0,0.0,2.0,50.53156169,1.0,10.0,40.392256543
0,16100,55000.0,29725.0,DebtCon,Other,11.0,0.0,0.0,85.951530438,2.0,8.0,33.496046557
1,20600,52946.0,83558.0,DebtCon,Other,0.0,0.0,0.0,65.882879392,0.0,10.0,65.143593455
0,50100,48370.0,106233.0,HomeImp,Self,8.0,0.0,0.0,193.65090514,3.0,36.0,39.935343568
0,40900,149281.0,202877.0,HomeImp,ProfExe,4.0,0.0,0.0,156.78306895,0.0,30.0,34.416519814
0,8800,56963.0,70607.0,HomeImp,Other,4.0,0.0,0.0,99.76441458,3.0,19.0,40.345260733
0,14400,34291.0,68444.0,DebtCon,ProfExe,6.0,0.0,0.0,262.07916362,1.0,15.0,21.981066452
1,10800,64305.0,107374.0,DebtCon,ProfExe,9.0,0.0,0.0,97.861325762,0.0,36.0,36.996385659
